,year,id,Team,RPI,SOS
483,2014,1133,Bradley,0.4443,0.4899
484,2014,1370,Seattle,0.4432,0.4561
485,2014,1192,Fairleigh Dickinson,0.4381,0.4695
486,2014,1105,Alabama A&M;,0.4379,0.4279
487,2014,1366,Savannah State,0.4364,0.4490
488,2014,1286,Montana State,0.4351,0.4377
489,2014,1220,Hofstra,0.4333,0.4892
490,2014,1167,Cal State Bakersfield,0.4323,0.4421
491,2014,1423,NC-Wilmington,0.4315,0.4945
492,2014,1262,UMass-Lowell,0.4305,0.4555
493,2014,1407,Troy,0.4273,0.4690
494,2014,1226,Idaho State,0.4258,0.4587
495,2014,1193,Fairfield,0.4246,0.4999
496,2014,1183,Eastern Illinois,0.4238,0.4548
497,2014,1148,Central Connecticut State,0.4236,0.4406
498,2014,1197,Florida A&M;,0.4226,0.4214
499,2014,1384,St. Francis (Pa.),0.4208,0.4462
500,2014,1349,Rice,0.419,0.5014
501,2014,1422,NC-Greensboro,0.418,0.4350
502,2014,1204,Georgia Southern,0.4168,0.4152
503,2014,1122,Austin Peay,0.4156,0.4358
504,2014,1402,Texas State-San Marcos,0.4143,0.4872
505,2014,1123,Ball State,0.4131,0.5258
506,2014,1251,Liberty,0.4112,0.4581
507,2014,1359,Samford,0.4108,0.4347
508,2014,1227,Illinois-Chicago,0.4068,0.4894
509,2014,1240,Jacksonville State,0.4045,0.4472
510,2014,1415,California Riverside,0.4027,0.4516
511,2014,1298,Navy,0.4001,0.4438
512,2014,1224,Howard,0.3927,0.4483
513,2014,1127,Binghamton,0.3917,0.4390
514,2014,1420,Maryland-Baltimore County,0.3884,0.4338
515,2014,1175,Delaware State,0.3876,0.4389
516,2014,1354,South Carolina State,0.3872,0.4344
517,2014,1391,Stetson,0.3856,0.4485
518,2014,1111,Appalachian State,0.383,0.4445
519,2014,1255,Longwood,0.3787,0.4470
520,2014,1202,Furman,0.3776,0.4141
521,2014,1223,Houston Baptist,0.3679,0.4465
522,2014,1126,Bethune-Cookman,0.3605,0.4199
523,2014,1154,The Citadel,0.3562,0.4375
524,2014,1271,Maryland-Eastern Shore,0.3531,0.4172
525,2014,1342,Presbyterian,0.3415,0.4149
526,2014,1112,Arizona,0.6731,0.5965
527,2014,1455,Wichita State,0.6522,0.5363
528,2014,1458,Wisconsin,0.6418,0.5986
529,2014,1438,Virginia,0.6371,0.5740
530,2014,1166,Creighton,0.6332,0.5757
531,2014,1307,New Mexico,0.6279,0.5648
532,2014,1417,UCLA,0.6247,0.5794
533,2014,1393,Syracuse,0.6219,0.5537
534,2014,1277,Michigan State,0.6199,0.5796
535,2014,1211,Gonzaga,0.6181,0.5428
536,2014,1163,Connecticut,0.6145,0.5693
537,2014,1326,Ohio State,0.6111,0.5777
538,2014,1328,Oklahoma,0.6076,0.5792
539,2014,1332,Oregon,0.6069,0.5763
540,2014,1124,Baylor,0.6019,0.5893
541,2014,1386,Saint Joseph's,0.5988,0.5594
542,2014,1160,Colorado,0.5981,0.5761
543,2014,1400,Texas,0.5958,0.5647
544,2014,1405,Toledo,0.5922,0.5038
545,2014,1344,Providence,0.5873,0.5586
546,2014,1397,Tennessee,0.5846,0.5755
547,2014,1113,Arizona State,0.5828,0.5594
548,2014,1217,Harvard,0.5818,0.4797
549,2014,1304,Nebraska,0.5789,0.5696
550,2014,1278,Minnesota,0.5778,0.5855
551,2014,1372,Stephen F. Austin,0.5745,0.4463
552,2014,1199,Florida State,0.572,0.5675
553,2014,1234,Iowa,0.5714,0.5668
554,2014,1453,Green Bay,0.5701,0.5058
555,2014,1264,Manhattan,0.5687,0.4920
556,2014,1256,Louisiana Tech,0.5683,0.4876
557,2014,1292,Middle Tennessee,0.5661,0.5137
558,2014,1444,Western Michigan,0.5637,0.5060
559,2014,1362,San Francisco,0.5624,0.5457
560,2014,1228,Illinois,0.5615,0.5658
561,2014,1308,New Mexico State,0.5611,0.4892
562,2014,1208,Georgia,0.5594,0.5536
563,2014,1209,Georgia State,0.5585,0.4775
564,2014,1268,Maryland,0.5581,0.5839
565,2014,1428,Utah,0.5558,0.5381
566,2014,1129,Boise State,0.5552,0.5435
567,2014,1131,Boston University,0.5492,0.4997
568,2014,1185,Eastern Michigan,0.5482,0.5412
569,2014,1452,West Virginia,0.5462,0.5615
